<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,109340.0,109380.0,109340.0,109370.0
18/09/18,109380.0,109490.0,109380.0,109480.0
18/09/18,109480.0,109500.0,109460.0,109490.0
18/09/18,109500.0,109500.0,109460.0,109460.0
18/09/18,109480.0,109550.0,109480.0,109540.0
18/09/18,109560.0,109560.0,109520.0,109520.0
18/09/18,109520.0,109590.0,109510.0,109580.0
18/09/18,109580.0,109600.0,109570.0,109590.0
18/09/18,109590.0,109620.0,109570.0,109600.0
18/09/18,109600.0,109650.0,109600.0,109620.0
18/09/18,109610.0,109660.0,109610.0,109650.0
18/09/18,109650.0,109690.0,109640.0,109690.0
18/09/18,109670.0,109690.0,109650.0,109680.0
18/09/18,109680.0,109730.0,109680.0,109700.0
18/09/18,109710.0,109750.0,109680.0,109690.0
18/09/18,109670.0,109720.0,109650.0,109720.0
18/09/18,109720.0,109750.0,109710.0,109730.0
18/09/18,109730.0,109740.0,109660.0,109680.0
18/09/18,109690.0,109730.0,109660.0,109680.0
18/09/18,109680.0,109720.0,109660.0,109660.0
18/09/18,109670.0,109670.0,109610.0,109610.0
18/09/18,109610.0,109620.0,109600.0,109620.0
18/09/18,109620.0,109620.0,109560.0,109590.0
18/09/18,109570.0,109600.0,109550.0,109550.0
18/09/18,109560.0,109590.0,109560.0,109570.0
18/09/18,109560.0,109590.0,109560.0,109580.0
18/09/18,109580.0,109580.0,109550.0,109580.0
18/09/18,109580.0,109600.0,109570.0,109570.0
18/09/18,109570.0,109570.0,109520.0,109530.0
18/09/18,109540.0,109580.0,109540.0,109580.0
18/09/18,109590.0,109610.0,109590.0,109610.0
18/09/18,109610.0,109620.0,109550.0,109580.0
18/09/18,109580.0,109580.0,109560.0,109570.0
18/09/18,109570.0,109580.0,109570.0,109570.0
18/09/18,109570.0,109570.0,109540.0,109540.0
18/09/18,109520.0,109530.0,109510.0,109510.0
18/09/18,109510.0,109520.0,109430.0,109440.0
18/09/18,109440.0,109460.0,109410.0,109450.0
18/09/18,109470.0,109500.0,109470.0,109470.0
18/09/18,109470.0,109470.0,109390.0,109410.0
18/09/18,109410.0,109420.0,109320.0,109330.0
18/09/18,109320.0,109370.0,109300.0,109370.0
18/09/18,109370.0,109410.0,109370.0,109390.0
18/09/18,109400.0,109410.0,109350.0,109360.0
18/09/18,109370.0,109430.0,109350.0,109410.0
18/09/18,109410.0,109460.0,109400.0,109460.0
18/09/18,109460.0,109510.0,109440.0,109500.0
18/09/18,109500.0,109510.0,109490.0,109510.0
18/09/18,109510.0,109550.0,109500.0,109540.0
18/09/18,109550.0,109570.0,109530.0,109550.0
18/09/18,109520.0,109560.0,109520.0,109550.0
18/09/18,109560.0,109620.0,109560.0,109620.0
18/09/18,109630.0,109660.0,109620.0,109620.0
18/09/18,109620.0,109620.0,109570.0,109580.0
18/09/18,109590.0,109600.0,109560.0,109560.0
18/09/18,109570.0,109570.0,109550.0,109550.0
18/09/18,109550.0,109560.0,109530.0,109550.0
18/09/18,109560.0,109580.0,109540.0,109580.0
18/09/18,109580.0,109580.0,109550.0,109570.0
18/09/18,109570.0,109610.0,109550.0,109560.0
18/09/18,109560.0,109560.0,109470.0,109470.0
18/09/18,109470.0,109500.0,109470.0,109470.0
18/09/18,109460.0,109570.0,109450.0,109530.0
18/09/18,109520.0,109580.0,109520.0,109530.0
18/09/18,109530.0,109530.0,109470.0,109480.0
18/09/18,109470.0,109490.0,109440.0,109490.0
18/09/18,109500.0,109540.0,109500.0,109520.0
18/09/18,109520.0,109540.0,109460.0,109460.0
18/09/18,109470.0,109500.0,109430.0,109440.0
18/09/18,109450.0,109480.0,109430.0,109480.0
18/09/18,109480.0,109480.0,109440.0,109440.0
18/09/18,109440.0,109490.0,109440.0,109480.0
18/09/18,109480.0,109510.0,109450.0,109450.0
18/09/18,109440.0,109440.0,109410.0,109420.0
18/09/18,109420.0,109480.0,109420.0,109470.0
18/09/18,109460.0,109520.0,109430.0,109480.0
18/09/18,109490.0,109500.0,109430.0,109430.0
18/09/18,109440.0,109460.0,109440.0,109440.0
18/09/18,109450.0,109480.0,109450.0,109470.0
18/09/18,109460.0,109490.0,109400.0,109430.0
18/09/18,109430.0,109540.0,109430.0,109500.0
18/09/18,109490.0,109530.0,109490.0,109500.0
18/09/18,109510.0,109510.0,109490.0,109510.0
18/09/18,109510.0,109520.0,109490.0,109490.0
18/09/18,109520.0,109540.0,109500.0,109510.0
18/09/18,109510.0,109530.0,109500.0,109510.0
18/09/18,109500.0,109520.0,109500.0,109520.0
18/09/18,109520.0,109530.0,109510.0,109520.0
18/09/18,109530.0,109560.0,109530.0,109540.0
18/09/18,109540.0,109550.0,109530.0,109540.0
18/09/18,109560.0,109560.0,109520.0,109540.0
18/09/18,109550.0,109570.0,109550.0,109570.0
18/09/18,109570.0,109570.0,109510.0,109570.0
18/09/18,109570.0,109570.0,109510.0,109560.0
18/09/18,109560.0,109600.0,109560.0,109570.0
18/09/18,109550.0,109580.0,109540.0,109560.0
18/09/18,109570.0,109570.0,109550.0,109560.0
18/09/18,109570.0,109620.0,109570.0,109590.0
18/09/18,109590.0,109610.0,109570.0,109580.0
18/09/18,109580.0,109620.0,109570.0,109610.0
18/09/18,109610.0,109630.0,109590.0,109600.0
18/09/18,109610.0,109640.0,109610.0,109610.0
18/09/18,109600.0,109610.0,109580.0,109600.0
18/09/18,109600.0,109650.0,109600.0,109640.0
18/09/18,109640.0,109650.0,109600.0,109620.0
18/09/18,109620.0,109650.0,109620.0,109640.0
18/09/18,109630.0,109680.0,109630.0,109670.0
18/09/18,109680.0,109750.0,109680.0,109750.0
18/09/18,109730.0,109730.0,109670.0,109680.0
18/09/18,109670.0,109670.0,109650.0,109650.0
18/09/18,109650.0,109700.0,109650.0,109680.0
18/09/18,109710.0,109790.0,109710.0,109790.0
18/09/18,109790.0,109790.0,109750.0,109760.0
18/09/18,109750.0,109760.0,109750.0,109760.0
18/09/18,109740.0,109750.0,109710.0,109720.0
18/09/18,109740.0,109760.0,109720.0,109750.0
18/09/18,109740.0,109780.0,109740.0,109760.0
18/09/18,109760.0,109810.0,109760.0,109800.0
18/09/18,109810.0,109910.0,109730.0,109810.0
18/09/18,109830.0,109900.0,109830.0,109870.0
18/09/18,109890.0,109940.0,109760.0,109900.0
18/09/18,109900.0,109930.0,109870.0,109900.0
18/09/18,109880.0,109890.0,109840.0,109880.0
18/09/18,109880.0,109930.0,109870.0,109920.0
18/09/18,109920.0,109920.0,109860.0,109870.0
18/09/18,109880.0,109890.0,109850.0,109870.0
18/09/18,109880.0,109890.0,109860.0,109860.0
18/09/18,109880.0,109890.0,109860.0,109860.0
18/09/18,109850.0,109860.0,109840.0,109840.0
18/09/18,109840.0,109920.0,109840.0,109900.0
18/09/18,109900.0,109920.0,109880.0,109910.0
18/09/18,109910.0,109920.0,109890.0,109920.0
18/09/18,109910.0,109920.0,109860.0,109870.0
18/09/18,109870.0,109880.0,109860.0,109870.0
18/09/18,109870.0,109870.0,109830.0,109840.0
18/09/18,109840.0,109870.0,109840.0,109870.0
18/09/18,109870.0,109890.0,109870.0,109870.0
18/09/18,109890.0,109900.0,109870.0,109870.0
18/09/18,109870.0,109950.0,109870.0,109940.0
18/09/18,109950.0,109950.0,109880.0,109880.0
18/09/18,109880.0,109910.0,109850.0,109860.0
18/09/18,109850.0,109870.0,109770.0,109800.0
18/09/18,109800.0,109880.0,109770.0,109830.0
18/09/18,109830.0,109860.0,109830.0,109850.0
18/09/18,109850.0,109890.0,109780.0,109810.0
18/09/18,109810.0,109810.0,109790.0,109790.0
18/09/18,109800.0,109820.0,109790.0,109800.0
18/09/18,109810.0,109820.0,109800.0,109800.0
18/09/18,109800.0,109820.0,109770.0,109810.0
18/09/18,109800.0,109820.0,109800.0,109810.0
18/09/18,109810.0,109840.0,109810.0,109820.0
18/09/18,109820.0,109840.0,109810.0,109810.0
18/09/18,109820.0,109820.0,109810.0,109810.0
18/09/18,109810.0,109810.0,109800.0,109810.0
18/09/18,109820.0,109820.0,109810.0,109810.0
18/09/18,109820.0,109820.0,109740.0,109750.0
18/09/18,109760.0,109800.0,109750.0,109800.0
18/09/18,109820.0,109820.0,109780.0,109790.0
18/09/18,109790.0,109810.0,109780.0,109790.0
18/09/18,109780.0,109790.0,109780.0,109790.0
18/09/18,109790.0,109790.0,109770.0,109790.0
18/09/18,109790.0,109790.0,109770.0,109780.0
18/09/18,109780.0,109780.0,109670.0,109710.0
18/09/18,109710.0,109740.0,109700.0,109740.0
18/09/18,109740.0,109750.0,109730.0,109740.0
18/09/18,109740.0,109750.0,109730.0,109750.0
18/09/18,109760.0,109760.0,109730.0,109750.0
18/09/18,109740.0,109740.0,109730.0,109730.0
18/09/18,109730.0,109740.0,109720.0,109730.0
18/09/18,109740.0,109760.0,109740.0,109740.0
18/09/18,109740.0,109770.0,109730.0,109770.0
18/09/18,109770.0,109830.0,109770.0,109820.0
18/09/18,109830.0,109840.0,109810.0,109810.0
18/09/18,109820.0,109820.0,109800.0,109800.0
18/09/18,109840.0,109840.0,109810.0,109820.0
18/09/18,109830.0,109870.0,109820.0,109870.0
18/09/18,109870.0,109900.0,109870.0,109870.0
18/09/18,109880.0,109880.0,109860.0,109860.0
18/09/18,109870.0,109870.0,109840.0,109840.0
18/09/18,109850.0,109850.0,109810.0,109810.0
18/09/18,109810.0,109820.0,109800.0,109810.0
18/09/18,109820.0,109850.0,109820.0,109840.0
18/09/18,109850.0,109880.0,109850.0,109850.0
18/09/18,109860.0,109870.0,109810.0,109810.0
18/09/18,109830.0,109860.0,109830.0,109840.0
18/09/18,109850.0,109850.0,109810.0,109810.0
